[(369.92, 56.370106761565836), (441.6, 56.370106761565836), (436.48, 130.6761565836299), (355.84, 130.6761565836299)]
[(440.32, 55.08896797153025), (519.68, 55.08896797153025), (524.8, 134.51957295373666), (435.2, 131.9572953736655)]
[(517.12, 53.80782918149466), (601.6, 58.93238434163701), (622.08, 138.3629893238434), (524.8, 133.23843416370107)]
[(600.32, 58.93238434163701), (686.08, 62.77580071174377), (723.2, 148.6120996441281), (622.08, 142.2064056939502)]
[(686.08, 64.05693950177935), (774.4, 71.74377224199289), (828.16, 157.58007117437722), (724.48, 147.33096085409252)]
[(774.4, 69.1814946619217), (870.4, 81.99288256227759), (928.0, 171.67259786476868), (826.88, 160.1423487544484)]
[(870.4, 81.99288256227759), (947.2, 89.6797153024911), (1024.0, 184.48398576512454), (925.44, 171.67259786476868)]
[(948.48, 89.6797153024911), (1061.12, 101.20996441281139), (1130.24, 204.98220640569394), (1022.72, 185.76512455516016)]
[(353.28, 131.9572953736655), (432.64, 135.80071174377224), (430.08, 242.135231316726), (334.08, 239.5729537366548)]
[(433.92, 135.80071174377224), (526.08, 133.23843416370107), (537.6, 248.5409252669039), (427.52, 242.135231316726)]
[(526.08, 134.51957295373666), (624.64, 143.48754448398577), (655.36, 261.3523131672598), (538.88, 251.10320284697508)]
[(623.36, 143.48754448398577), (721.92, 147.33096085409252), (773.12, 274.16370106761565), (655.36, 260.0711743772242)]
[(721.92, 149.8932384341637), (828.16, 161.42348754448398), (896.0, 285.69395017793596), (774.4, 272.88256227758006)]
[(829.44, 161.42348754448398), (928.0, 172.95373665480426), (1009.92, 299.7864768683274), (894.72, 290.8185053380783)]
[(928.0, 174.23487544483984), (1022.72, 185.76512455516016), (1116.16, 319.0035587188612), (1008.64, 299.7864768683274)]
